Hrvatski naziv Znanstveni naziv FAO kod
ARBUN Pagellus erythrinus PAC
ŠARAG Diplodus sargus SWA
ŠKARAM Sphyraena sphyraena YRS
ŠKRPINA Scorpaena scrofa RSE
ŠKRPUN Scorpaena porcus BBS
ŠPAR Diplodus annularis ANN
TABINJE Phycis spp FOX
TRLJA BLATARICA Mullus barbatus MUT
TRLJA KAMENJARKA Mullus surmuletus MUR
UGOR Conger conger COE
UGOTICA Micromesistius poutassou WHB
UŠATA Oblada melanura SBS
VRANA Labrus merula WRM
ZUBATAC Dentex dentex DEC
ZUBATAC KRUNAŠ Dentex gibbosus DEP
HOBOTNICA Octopus vulgaris OCC
LIGNJA Loligo vulgaris SQR
LIGNJUNI Ommastrephidae SQU
MUZGAVAC Eledone spp OCM
MUZGAVAC BIJELI Eledone cirrhosa EOI
MUZGAVAC CRNI Eledone moschata EDT
SIPA Sepia officinalis CTC
SIPICE Sepiidae, Sepiolidae CTL
DRHTULJA MRKULJA Tetronarce nobiliana TTO
DRHTULJA ŠARULJA Dasyatis marmorata TTR
GOLUB Myliobatis aquila MYL
MAČKA BLJEDICA Scyliorhinus canicula SYC
MAČKA MRKULJA Scyliorhinus stellaris SYT
MAČKE Scyliorhinus spp SCL
PAS KOSTELJ Squalus acanthias DGS
PAS MEKUŠ Mustelus asterias SDS
PAS MEKUŠ, ČUKOV Mustelus mustelus SMD
PJEGAVI PAS Mustelus punctulatus MPT
RAŽA KAMENICA Raja clavata RJC
RAŽA MODROPJEGA,
BARAKOKULA Raja miraletus JAI
RAŽA TUPONOSKA Raja radula JAR
RAŽA VIJOŠARKA Raja undulata RJU
IGLICA Belone belone GAR
INĆUN Engraulis encrasicolus ANE
PAPALINA Sprattus sprattus SPR
PLAVICA, LOKARDA Scomber colias VMA
SKUŠA Scomber scombrus MAC
SRDELA Sardina pilchardus PIL
SRDELA GOLEMA Sardinella aurita SAA
glavonošci
hrskavičnjače
mala plava riba
ŠARUN Trachurus trachurus HOM
ŠARUN MEDITERANSKI, USKI Trachurus mediterraneus HMM
BIBI (MORSKI ŠTRCALJAC) Sipunculus nudus SIU
CRNI JEŽINAC Arbacia lixula UKB
CRVENI KORALJ Corallium rubrum COL
JEŽINAC HRIDINSKI Paracentrotus lividus URM
MORSKA JAJA Microcosmus vulgaris SSG
MORSKI CRVI Polychaeta WOR
PUŽEVI OSTALI Gastropoda GAS
SPUŽVA OBIČNA Spongia officinalis QGO
SPUŽVE Spongiidae SPO
TRP OBIČNI Holothuria tubulosa HFT
TRPOVI Holothuroidea CUX
VELIKI MORSKI CRVI Eunice spp. FXX
VOLCI Murex spp MUE
HLAP Homarus gammarus LBE
JASTOG Palinurus elephas SLO
KANOĆA Squilla mantis MTS
KOZICA Parapenaeus longirostris DPS
KUKA Scyllarides latus YLL
PLAVI RAK Callinectes sapidus CRB
RAKOVICA Maja squinado SCR
ŠKAMP Nephrops norvegicus NEP
TIGRASTA KOZICA Penaeus monodon GIT
ZEZAVAC Scyllarus arctus SCY
DAGNJA Mytilus galloprovincialis MSM
JAKOVLJEVA KAPICA Pecten jacobaeus SJA
KAMENICA Ostrea edulis OYF
KAPICE Pectinidae SCX
KOKOŠ Chamelea gallina SVE
KUĆICA Ruditapes decussatus CTG
KUNJKA Arca noae RKQ
MALA KAPICA Chlamys varia VSC
PRNJAVICA, BRBAVICA Venus verrucosa VEV
RUMENKA Callista chione KLK
GOF Seriola dumerili AMB
IGLAN Tetrapturus belone MSP
IGLUN, SABLJARKA Xiphias gladius SWO
LICA Lichia amia LEE
LUC Euthynnus alletteratus LTA
PALAMIDA Sarda sarda BON
TRUP, RUMBAC Auxis rochei BLT
TUNA ALBAKORE Thunnus alalunga ALB
velika plava riba
ostali organizmi
rakovi
školjkaši
TUNA PLAVOPERAJNA Thunnus thynnus BFT
